Employee ID,Employee Name,Gender,Email,Band,Date Of Joining,Status,Contact No.,Reporting Manager,Reportees,Tech Area,Project info,\n
210028,ANIL KUMAR NELGI,M,anil.nelgi@thundersoft.com,E5,10-10-2018,Resignation,9822561355,SIVARAM KUPPA   [0210110],KALYANI POLEPEDDY   [0210167],C - DS -OS  GIT,AMD-HYD,\n
210030,SHANTHI SINDHU,F,santhi.sindhu@thundersoft.com,E3 ,24-10-2018,Active,9822561356,SIVARAM KUPPA   [0210110],FARIDA M   [0210179],C - DS -OS  GIT ADB Python,MICRON,\n
210031,MAHENDER MUDUPU,M,mahender.reddy@thundersoft.com,E3,24-10-2018,Active,9822561357,VIJAY KRISHNA NIVARTHI   [0210212],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  GIT,Mavenir,\n
210032,SUDARSHAN REDDY,M,sudarshan.reddy@thundersoft.com,E2,29-10-2018,Active,9822561358,SRIKANTH CHATRADIPALLI   [0210055],KARNATI NAGESWARA REDDY [0210171],C - DS -OS  GIT  ADB Python,Soumya's ODC,\n
210033,ISHA PADIYAR,F,isha.padiyar@thundersoft.com,E1,29-10-2018,Resignation,9822561359,ANURAG SHARMA   [0210148],SIVARAM KUPPA   [0210110],C - DS -OS   GIT  ADB Python Perl,Training,\n
210034,SOHAIL HOQUE,M,sohail.hoque@thundersoft.com,E2,29-10-2018,Resignation,9822561360,SIVARAM KUPPA   [0210110],AKELLA PRASANNA KUMAR [0210108],C - DS -OS  GIT  ADB Python Modem Basics embedded concepts in DD,Visteon Audio,\n
210035,G ARUN KUMAR,M,arun.kumar@thundersoft.com,E1,29-10-2018,Active,9822561361,VIJAY KRISHNA NIVARTHI   [0210212],DURYODANULA ANIL KUMAR   [0210088],C - DS -OS   GIT,Onboarded,\n
210036,K VAMSI KUMAR REDDY,M,vamsi.kumar@thundersoft.com,E1,29-10-2018,Resignation,9822561362,FARIDA M   [0210179],BALARAMU NAIDU   [0210058],C - DS -OS   GIT,MICRON,\n
210037,NAGA DHEERAJ KURAPATI,M,dheeraj.kurapati@thundersoft.com,E2,29-10-2018,Resignation,9822561363,SHANTHI SINDHU   [0210030],FARIDA M   [0210179],C - DS -OS  Basic LDD GIT  Audio,MICRON,\n
210038,PILLANAGROVILA PRASHANTH YADAV,M,prashanth.yadav@thundersoft.com,E2,29-10-2018,Suspension,9822561364,MONIKA ALEKHYA BOMMISETTI   [0210149],SIVARAM KUPPA   [0210110],C - DS -OS  GIT,QC-HYD,\n
210039,SHAIK SAJIDA BHANU,F,sajida.bhanu@thundersoft.com,E1,29-10-2018,Resignation,9822561365,BALARAMU NAIDU   [0210058],DURYODANULA ANIL KUMAR   [0210088],C - DS -OS  GIT,MICRON,\n
210040,T SUNEEL KUMAR,M,suneel.kumar@thundersoft.com,E2,29-10-2018,Resignation,9822561366,ANURAG SHARMA   [0210148],BALARAMU NAIDU   [0210058],C - DS -OS  GIT,QC-HYD,\n
210042,MOHAMMED RIZWAN,M,md.rizwan@thundersoft.com,E3,05-11-2018,Active,9822561367,ASISH RANJAN MUNI   [0210100],BATHULA TULASI MAHALAKSHMI  [0210317],C - DS -OS  ADB GIT Basic LDD,QC-HYD,\n
210043,HARSHIT AGARWAL,M,harshit.agarwal@thundersoft.com,E1,05-11-2018,Resignation,9822561368,VIKAS REDDY   [0210022],FARIDA M   [0210179],C - DS -OS  GIT,MICRON,\n
210044,NAVYA CHALLAGULLA,F,navya.challagulla@thundersoft.com,E1,05-11-2018,Resignation,9822561369,SRIKANTH CHATRADIPALLI   [0210055],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  GIT,QC-BANG,\n
210045,RAKESH VARKOLU,M,rakesh.varkolu@thundersoft.com,E1,05-11-2018,Resignation,9822561370,SHANTHI SINDHU   [0210030],BALARAMU NAIDU   [0210058],C - DS -OS  GIT,MICRON,\n
210047,NITESH VEERA MADISETTY,M,nitesh.madisetty@thundersoft.com,E1,08-11-2018,Resignation,9822561371,RAJ KUMAR THAVTI  [0210298],AKELLA PRASANNA KUMAR [0210108],C - DS -OS ADB GIT Basic LDD Audio,QC-HYD,\n
210049,KUSAKUMAR PUNNANA,M,kusa.kumar@thundersoft.com,E3,13-11-2018,Active,9822561372,ANURAG SHARMA   [0210148],KALYANI POLEPEDDY   [0210167],C - DS -OS  GIT,MICRON,\n
210050,PRADNYA DAHIWALE,F,pradnya.dahiwale@thundersoft.com,E2,14-11-2018,Resignation,9822561373,VIKAS REDDY   [0210022],FARIDA M   [0210179],C - DS -OS  GIT,MICRON,\n
210051,VINEETA SINGH,F,vineeta.singh@thundersoft.com,E2,19-11-2018,Resignation,9822561374,ANURAG SHARMA   [0210148],SACHIN BHAYARE   [0210001],C - DS -OS  ADB GIT Basic LDD Camera,QC Reqs ,\n
210052,VASAVI KANDIKATTU,F,vasavi.kandikattu@thundersoft.com,E2,19-11-2018,Active,9822561375,SRIKANTH CHATRADIPALLI   [0210055],KALYANI POLEPEDDY   [0210167],C - DS -OS  GIT,MICRON,\n
210053,SAMMAI CHAKRAVARTHY,F,sammai.chakravarthy@thundersoft.com,E1,19-11-2018,Active,9822561376,SRIVALLI OGURI   [0210023],AKELLA PRASANNA KUMAR [0210108],C - DS -OS  GIT,MICRON,\n
210054,SAI SASANK VEMPATY,M,saisasank.vempaty@thundersoft.com,E2,19-11-2018,Resignation,9822561377,SRIVALLI OGURI   [0210023],FARIDA M   [0210179],C - DS -OS  GIT ADB Python,QC-HYD,\n
210055,SRIKANTH CHATRADIPALLI,M,srikanth.chatradipalli@thundersoft.com,E2,19-11-2018,Active,9822561378,SUDHARANI PILLAI  [014121],DURYODANULA ANIL KUMAR   [0210088],C - DS -OS  GIT,Visteon Audio,\n
210056,VANGALA PAVAN KUMAR,M,pavan.vangala@thundersoft.com,E1,20-11-2018,Active,9822561379,SACHIN BHAYARE   [0210001],BATHULA TULASI MAHALAKSHMI  [0210317],C - DS -OS  GIT  ADB Python,QC-HYD,\n
210057,REDDESWARAMMA CHITIPIREDDY,F,reddeswari.c@thundersoft.com,E2,27-11-2018,Resignation,9822561380,BALARAMU NAIDU   [0210058],BALARAMU NAIDU   [0210058],C - DS -OS   GIT  ADB Python Perl,QC-REQS ,\n
210058,BALARAMU NAIDU,M,balaram.naidu@thundersoft.com,E5,03-12-2018,Active,9822561381,SUDHARANI PILLAI  [014121],BATHULA TULASI MAHALAKSHMI  [0210317],C - DS -OS  GIT  ADB Python Modem Basics embedded concepts in DD,MICRON,\n
210059,VENKATA PAVAN KUMAR KARRI,M,pavan.karri@thundersoft.com,E5,03-12-2018,Active,9822561382,ANURADHA KORRAPATI   [0210002],KALYANI POLEPEDDY   [0210167],C - DS -OS   GIT,MICRON,\n
210060,SWAPNA DEVI POKURI,F,swapna.pokuri@thundersoft.com,E3,03-12-2018,Active,9822561383,ANURAG SHARMA   [0210148],SACHIN BHAYARE   [0210001],C - DS -OS   GIT,Onboarded,\n
210061,RAMULU AKARAPU,M,ramulu.akarapu@thundersoft.com,E2,04-12-2018,Active,9822561384,BATHULA TULASI MAHALAKSHMI  [0210317],FARIDA M   [0210179],C - DS -OS  Basic LDD GIT  Audio,Visteon Audio,\n
210065,SHASHANK REDDY,M,shashank.reddy@thundersoft.com,E3,17-12-2018,Active,9822561385,CHINTALA YOUGHANDHAR   [0210189],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  GIT,AMD-HYD,\n
210067,CHAPPA KISHOR,M,kishor.chappa@thundersoft.com,E1,27-12-2018,Active,9822561386,SRIVALLI OGURI   [0210023],KALYANI POLEPEDDY   [0210167],C - DS -OS  GIT,MICRON,\n
210068,MAHESWARA SARMA,F,maheswara.sarma@thundersoft.com,E2,31-12-2018,Resignation,9822561387,SRIVALLI OGURI   [0210023],AKELLA PRASANNA KUMAR [0210108],C - DS -OS  GIT,Mavenir,\n
210070,SIVAKUMAR CHIKKALA,M,siva.chikkala@thundersoft.com,E1,03-01-2019,Resignation,9822561388,SIVARAM KUPPA   [0210110],SACHIN BHAYARE   [0210001],C - DS -OS  ADB GIT Basic LDD,Soumya's ODC,\n
210072,RAVI KUMAR BOKKA,M,ravi.bokka@thundersoft.com,E3,07-01-2019,Active,9822561389,KARNATI NAGESWARA REDDY [0210171],DURYODANULA ANIL KUMAR   [0210088],C - DS -OS  GIT,Training,\n
210073,SHAIKH SHADUL A KARIM,M,shadul.shaikh@thundersoft.com,E3,21-01-2019,Resignation,9822561390,SACHIN BHAYARE   [0210001],BALARAMU NAIDU   [0210058],C - DS -OS  GIT,Visteon Audio,\n
210074,M SANDEEP,M,sandeep.maheswaram@thundersoft.com,E3,23-01-2019,Suspension,9822561391,BALARAMU NAIDU   [0210058],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  GIT,Onboarded,\n
210076,MALA SRINIVAS,M,mala@thundersoft.com,E5,16-12-2019,Active,9822561392,ANURADHA KORRAPATI   [0210002],FARIDA M   [0210179],C - DS -OS ADB GIT Basic LDD Audio,MICRON,\n
210077,MANASA SANDHIREDDY,F,manasa.sandireddy@thundersoft.com,E1,04-02-2019,Active,9822561393,DURYODANULA ANIL KUMAR   [0210088],SACHIN BHAYARE   [0210001],C - DS -OS  GIT,MICRON,\n
210078,SRINIVASAREDDY MALLIDI,M,srinivasa.mallidi@thundersoft.com,E3,05-02-2019,Resignation,9822561394,DURYODANULA ANIL KUMAR   [0210088],SACHIN BHAYARE   [0210001],C - DS -OS  GIT,Visteon Audio,\n
210079,NAGA SUJATHA,F,naga.sujatha@thundersoft.com,E3,06-02-2019,Active,9822561395,AKELLA PRASANNA KUMAR [0210108],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  ADB GIT Basic LDD Camera,resigned,\n
210080,TEJA VENKATA RAMANA CHITIKELA,M,teja.chitikela@thundersoft.com,E3,11-02-2019,Resignation,9822561396,BALARAMU NAIDU   [0210058],KALYANI POLEPEDDY   [0210167],C - DS -OS  GIT,Visteon Audio,\n
210081,NAZIA JABEEN,F,nazia.jabeen@thundersoft.com,E2,11-02-2019,Active,9822561397,MOHAMMED RIZWAN   [0210042],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  GIT,resigned,\n
210082,NALLI SUDHAKAR,M,sudhakar.nalli@thundersoft.com,E2,18-02-2019,Active,9822561398,CHINTALA YOUGHANDHAR   [0210189],KALYANI POLEPEDDY   [0210167],C - DS -OS  Basic LDD Audio Video,Micron,\n
210083,CHINTA V B V CHAKRAVARTI,M,chakravarthi.chinta@thundersoft.com,E3,18-02-2019,Active,9822561399,BATHULA TULASI MAHALAKSHMI  [0210317],SACHIN BHAYARE   [0210001],C - DS -OS  Basic LDD  Audio,Bench,\n
210084,MOHD IRFAN,M,irfan.md@thundersoft.com,E2,20-02-2019,Active,9822561400,MOHAMMED RIZWAN   [0210042],SIDDALINGESH KOOSALAPUR   [0210194],C - DS -OS  Basic LDD,QC-HYD,\n
210086,SHRIVAS ANSHUL RAMKUMAR,M,anshul.shrivas@thundersoft.com,E1,04-03-2019,Resignation,9822561401,SIVARAM KUPPA   [0210110],SIVARAM KUPPA   [0210110],C - DS -OS  Basic LDD  Audio,QC-HYD,\n
210087,M NANDA GOPAL,M,nandagopal.mopidevi@thundersoft.com,E1,01-07-2019,Active,9822561402,Ravi Kumar Gupta  [0210289],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  Jenkins Pyth Perl B&I,resigned,\n
210088,DURYODANULA ANIL KUMAR,M,anil.duryodanula@thundersoft.Com,E4,14-03-2019,Active,9822561403,BATHULA TULASI MAHALAKSHMI  [0210317],Ashok Phour  [0210309],C - DS -OS  Basic LDD,Mavenir,\n
210089,YARUBANDI ROJA RANI,F,rojarani.y@thundersoft.com,E3,18-03-2019,Resignation,9822561404,BALARAMU NAIDU   [0210058],SHANTHI SINDHU   [0210030],C - DS -OS  Basic LDD  BSP,QC-HYD,\n
210090,JANA TULASI NAGA DURGA,F,tulasi.jana@thundersoft.com,E1,18-03-2019,Resignation,9822561405,SRIKANTH CHATRADIPALLI   [0210055],SACHIN BHAYARE   [0210001],C - DS -OS  Basic LDD,resigned,\n
210091,D KEERTHI PRIYA,F,keerthi.doppalapudi@thundersoft.com,E1,25-03-2019,Active,9822561406,SRIKANTH CHATRADIPALLI   [0210055],VIKAS REDDY   [0210022],C - DS -OS  Basic LDD,resigned,\n
210092,SHAIK MANSUR ALISHA,M,mansur.alisha@thundersoft.com,E2,01-04-2019,Resignation,9822561407,BALARAMU NAIDU   [0210058],KALYANI POLEPEDDY   [0210167],C - DS -OS ADB GIT Basic LDD Audio,Onboarded,\n
210093,SUNKARA KISHORE,M,kishore.sunkara@thundersoft.com,E3,09-04-2019,Suspension,9822561408,SIVARAM KUPPA   [0210110],SIDDALINGESH KOOSALAPUR   [0210194],C - DS -OS  GIT,resigned,\n
210095,SHAIK MEHTAB,M,mehtab.shaik@thundersoft.com,E3,22-04-2019,Active,9822561409,ANURAG SHARMA   [0210148],SHANTHI SINDHU   [0210030],C - DS -OS  GIT,Onboarded,\n
210097,GUDE RAVICHAND,M,ravichand.gude@thundersoft.com,E2,06-05-2019,Active,9822561410,CHINTA V B V CHAKRAVARTI   [0210083],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  ADB GIT Basic LDD Camera,Visteon Audio,\n
210098,VENKATA MANASA KAKARLA,F,manasa.kakarla@thundersoft.com,E2,13-05-2019,Resignation,9822561411,MOHAMMAD JOHNY SHAIK   [0210197],VIKAS REDDY   [0210022],C - DS -OS  GIT,QC-HYD,\n
210100,ASISH RANJAN MUNI,M,asish.ranjan@thundersoft.com,E4,24-05-2019,Active,9822561412,AKELLA PRASANNA KUMAR [0210108],SACHIN BHAYARE   [0210001],C - DS -OS  GIT,resigned,\n
210101,KISAN DUDHANATH YADAV,M,kisan.dudhanath@thundersoft.com,E2,03-06-2019,Active,9822561413,SIVARAM KUPPA   [0210110],SIDDALINGESH KOOSALAPUR   [0210194],C - DS -OS  Basic LDD Audio Video,Visteon Audio,\n
210102,BHUVANESHWARI BALAGAR,F,bhuvaneshwari.balagar@thundersoft.com,E2,03-06-2019,Active,9822561414,TELLAPATI REDDAIAH   [0210154],Ashok Phour  [0210309],C - DS -OS  Basic LDD  Audio,Mavenir,\n
210103,CHANDAN,M,chandan@thundersoft.com,E2,03-06-2019,Active,9822561415,VIKAS REDDY   [0210022],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  Basic LDD,Visteon Audio,\n
210104,KAKITAPALLI SATYA PRIYA,F,satya.kakitapalli@thundersoft.com,E2,03-06-2019,Active,9822561416,VIJAY KRISHNA NIVARTHI   [0210212],SHANTHI SINDHU   [0210030],C - DS -OS  Basic LDD  Audio,Micron,\n
210105,PALLAVI DEVIDAS SONEKAR,F,pallavi.devidas@thundersoft.com,E2,03-06-2019,Active,9822561417,SOUMYA RANJAN SUTAR   [0210169],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  Jenkins Pyth Perl B&I,QC-HYD,\n
210106,GAADE ANTHONY ASHOK REDDY,M,ashok.gaade@thundersoft.com,E2,03-06-2019,Active,9822561418,KARNATI NAGESWARA REDDY [0210171],SIVARAM KUPPA   [0210110],C - DS -OS  Basic LDD,QC-HYD,\n
210107,KAMBLE RAJESHWARI RAVINDRA,F,rajeshwari.kamble@thundersoft.com,E2,03-06-2019,Active,9822561419,RAVI KUMAR BOKKA   [0210072],SACHIN BHAYARE   [0210001],C - DS -OS  Basic LDD  BSP,Team Change,\n
210108,AKELLA PRASANNA KUMAR,F,prasanna.akella@thundersoft.com,E5,07-06-2019,Active,9822561420,SUDHARANI PILLAI  [014121],KALYANI POLEPEDDY   [0210167],C - DS -OS  Basic LDD,Onboarded,\n
210109,NIKHIL VIHAR BOYAPATI,M,nikhil.boyapati@thundersoft.com,E3,17-06-2019,Active,9822561421,BATHULA TULASI MAHALAKSHMI  [0210317],Ashok Phour  [0210309],C - DS -OS  Basic LDD,QC-HYD,\n
210110,SIVARAM KUPPA,M,sivaram.kuppa@thundersoft.com,E5,27-06-2019,Active,9822561422,SUDHARANI PILLAI  [014121],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS ADB GIT Basic LDD Audio,Mavenir,\n
210111,SUGANYA ARAVAZHI,F,suganya.aravazhi@thundersoft.com,E5,01-07-2019,Active,9822561423,ANURADHA KORRAPATI   [0210002],Ashok Phour  [0210309],C - DS -OS  GIT,Visteon Audio,\n
210112,NITESH KUMAR YADAV,M,nitesh.yadav@thundersoft.com,E3,01-07-2019,Active,9822561424,AKELLA PRASANNA KUMAR [0210108],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  GIT,Visteon Audio,\n
210113,MANGALARAM SURESH KUMAR,M,suresh.mangalaram@thundersoft.com,E6,02-01-2020,Termination,9822561425,DURYODANULA ANIL KUMAR   [0210088],SACHIN BHAYARE   [0210001],C - DS -OS  ADB GIT Basic LDD Camera,Team Change,\n
210114,MUNAGALA SUMALATHA,F,sumalatha.munagala@thundersoft.com,E1,02-01-2020,Termination,9822561426,DURYODANULA ANIL KUMAR   [0210088],KALYANI POLEPEDDY   [0210167],C - DS -OS  GIT,QC-HYD,\n
210115,AYESHU SHARMA,F,ayeshu.sharma@thundersoft.com,E1,02-07-2019,Active,9822561427,SRIVALLI OGURI   [0210023],SIDDALINGESH KOOSALAPUR   [0210194],C - DS -OS  GIT,resigned,\n
210116,KADALI VENKATA SURYA SATYA SAI SIRISHA,F,sirisha.kadali@thundersoft.com,E1,03-07-2019,Active,9822561428,SRIVALLI OGURI   [0210023],SIVARAM KUPPA   [0210110],C - DS -OS  Basic LDD Audio Video,Onboarded,\n
210117,PATIL RAJESH REDDY,M,rajesh.patil@thundersoft.com,E2,03-07-2019,Resignation,9822561429,TEJA VENKATA RAMANA CHITIKELA   [0210080],Ashok Phour  [0210309],C - DS -OS  Basic LDD  Audio,Team Change,\n
210118,PASAM DHAMINI,F,dhamini.pasam@thundersoft.com,E2,03-07-2019,Resignation,9822561430,VAGEESWARI PANCHAGNULA   [0210151],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  Basic LDD,resigned,\n
210119,PIPPALA DURGAMANIKANTA,F,durgamanikanta.pippala@thundersoft.com,E2,08-07-2019,Resignation,9822561431,VIKAS REDDY   [0210022],SHANTHI SINDHU   [0210030],C - DS -OS  Basic LDD  Audio,resigned,\n
210120,MOKARA VEERA VENKATA LAKSHMI PRASANNA,F,prasanna.mokara@thundersoft.com,E2,08-07-2019,Active,9822561432,BATHULA TULASI MAHALAKSHMI  [0210317],ASISH RANJAN MUNI   [0210100],C - DS -OS  Jenkins Pyth Perl B&I,resigned,\n
210121,T.BHARATH BHARADWAJ,M,bharath.bharadwarj@thundersoft.com,E2,08-07-2019,Resignation,9822561433,SRIKANTH CHATRADIPALLI   [0210055],SACHIN BHAYARE   [0210001],C - DS -OS  Basic LDD,QC-HYD,\n
210122,NARENDRA BABU KOPPERA,M,narendra.koppera@thundersoft.com,E1,23-07-2019,Active,9822561434,MOHAMMED RIZWAN   [0210042],SIDDALINGESH KOOSALAPUR   [0210194],C - DS -OS  Basic LDD  BSP,resigned,\n
210124,YASARAM ANURADHA,M,anuradha.yasaram@thundersoft.com,E2,15-07-2019,Active,9822561435,DURYODANULA ANIL KUMAR   [0210088],SIDDALINGESH KOOSALAPUR   [0210194],C - DS -OS  Basic LDD,Visteon Audio,\n
210125,HARENDRA GAUTAM,M,harendra.gautam@thundersoft.com,E1,18-07-2019,Resignation,9822561436,SIVARAM KUPPA   [0210110],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  Basic LDD,Bench,\n
210126,MULA YOGYA,F,yogya.mula@thundersoft.com,E1,22-07-2019,Resignation,9822561437,ANURADHA BATHINA   [0210187],VIKAS REDDY   [0210022],C - DS -OS  GIT ADB Python,resigned,\n
210127,PAVANI GANDEPALLI,F,pavani.gandepalli@thundersoft.com,E2,21-10-2019,Active,9822561438,SRIVALLI OGURI   [0210023],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  GIT,resigned,\n
210128,BABJI DUGGIRALA,M,babji.duggirala@thundersoft.com,E2,26-07-2019,Active,9822561439,BATHULA TULASI MAHALAKSHMI  [0210317],SHANTHI SINDHU   [0210030],C - DS -OS  GIT  ADB Python,Micron,\n
210129,PRAVEEN KUMAR MOPARTHI,M,praveen.moparthi@thundersoft.com,E3,01-08-2019,Active,9822561440,BATHULA TULASI MAHALAKSHMI  [0210317],SACHIN BHAYARE   [0210001],C - DS -OS   GIT  ADB Python Perl,Visteon Audio,\n
210130,MUPPIREDDY HARISH REDDY,M,harish.muppireddy@thundersoft.com,E1,05-08-2019,Resignation,9822561441,MOHAMMED RIZWAN   [0210042],SIVARAM KUPPA   [0210110],C - DS -OS  GIT  ADB Python Modem Basics embedded concepts in DD,Team Change,\n
210131,BODDUPALLI PAVANI MOUNIKA,F,boddupalli.pavani@thundersoft.com,E2,05-08-2019,Resignation,9822561442,SRIVALLI OGURI   [0210023],SACHIN BHAYARE   [0210001],C - DS -OS   GIT,resigned,\n
210132,PALADI SANTHOSHI MANASA,F,santhoshi.paladi@thundersoft.com,E1,05-08-2019,Active,9822561443,SRIVALLI OGURI   [0210023],SIDDALINGESH KOOSALAPUR   [0210194],C - DS -OS   GIT,resigned,\n
210133,KATTHI SHASHIKALA,F,shashikala.katthi@thundersoft.com,E2,12-08-2019,Active,9822561444,VIKAS REDDY   [0210022],KALYANI POLEPEDDY   [0210167],C - DS -OS  Basic LDD GIT  Audio,Visteon Audio,\n
210134,MAKKUVA VENKATA SRINIVAS,M,makkuva.srinivas@thundersoft.com,E2,12-08-2019,Resignation,9822561445,CHINTALA YOUGHANDHAR   [0210189],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  GIT,Team Change,\n
210135,TRUPTI BHOLE,F,trupti.bhole@thundersoft.com,E2,12-08-2019,Active,9822561446,MONIKA ALEKHYA BOMMISETTI   [0210149],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  GIT,Mavenir,\n
210136,VISHAL SHUKLA,M,vishal.shukla@thundersoft.com,E2,12-08-2019,Resignation,9822561447,VIKAS REDDY   [0210022],ASISH RANJAN MUNI   [0210100],C - DS -OS  GIT,QC-HYD,\n
210137,LADI RAM SAI,M,ramsai.ladi@thundersoft.com,E2,12-08-2019,Resignation,9822561448,KARNATI NAGESWARA REDDY [0210171],SRIKANTH CHATRADIPALLI   [0210055],C - DS -OS  ADB GIT Basic LDD,resigned,\n
210138,SHRUTI,F,shruti.s@thundersoft.com,E2,12-08-2019,Resignation,9822561449,DURYODANULA ANIL KUMAR   [0210088],Ashok Phour  [0210309],C - DS -OS  GIT,resigned,\n
210140,AMEYA JOSHI,M,ameya.joshi@thundersoft.com,E1,12-08-2019,Resignation,9822561450,DURYODANULA ANIL KUMAR   [0210088],SACHIN BHAYARE   [0210001],C - DS -OS  GIT,resigned,\n
